product_name,brand,category,format,price,ingredient_focus
Hair Growth Serum Pro,Man Matters,Haircare,Serum,799,Redensyl
Onion Hair Oil,WOW Skin Science,Haircare,Oil,499,Onion Extract
Minoxidil Solution 5%,Man Matters,Haircare,Solution,650,Minoxidil
Rosemary Growth Tonic,Vedix,Haircare,Tonic,599,Rosemary Oil
Anti Hair Fall Shampoo,Mamaearth,Haircare,Shampoo,449,Onion Extract
Caffeine Shampoo,mCaffeine,Haircare,Shampoo,399,Caffeine
Hair Growth Combo Kit,Traya,Haircare,Kit,1999,Minoxidil+Biotin
Biotin Gummies,Power Gummies,Supplements,Gummy,599,Biotin
Redensyl Hair Serum,Minimalist,Haircare,Serum,599,Redensyl
Scalp Treatment Oil,Forest Essentials,Haircare,Oil,1200,Ayurvedic Herbs
Hair Vitamin Capsules,OZiva,Supplements,Capsule,899,Biotin+Keratin
Anti Dandruff Shampoo,Head Shoulders,Haircare,Shampoo,350,Zinc Pyrithione
